RTD temps,REF_temp,Time
"[30.9336, 30.8956, 31.0237, 30.9359, 30.9028, 30.916, 30.9623]",30.094,17.58054208755493
"[30.9366, 30.8984, 31.0281, 30.9389, 30.9052, 30.919, 30.9644]",30.101,22.547693729400635
"[30.9383, 30.9024, 31.0305, 30.9416, 30.9086, 30.9225, 30.968]",30.102,27.51084804534912
"[30.9409, 30.903, 31.0324, 30.9454, 30.9118, 30.9258, 30.9713]",30.104,32.47999906539917
"[30.9456, 30.9063, 31.0351, 30.9476, 30.9128, 30.928, 30.9734]",30.106,37.452155351638794
"[30.9472, 30.909, 31.0368, 30.949, 30.9151, 30.9288, 30.9765]",30.109,42.43530488014221
"[30.9497, 30.9123, 31.0409, 30.9537, 30.9191, 30.9337, 30.9803]",30.11,47.41445779800415
"[30.9527, 30.9153, 31.0449, 30.9569, 30.9221, 30.935, 30.983]",30.117,52.38261103630066
"[30.9554, 30.9168, 31.0444, 30.9588, 30.9243, 30.9392, 30.9857]",30.119,57.35376310348511
"[30.9587, 30.921, 31.0493, 30.9612, 30.927, 30.9422, 30.9885]",30.12,62.32291340827942
"[30.9601, 30.9218, 31.0523, 30.964, 30.9293, 30.9448, 30.9907]",30.122,67.28706741333008
"[30.9639, 30.9266, 31.0532, 30.9661, 30.9325, 30.947, 30.9934]",30.125,72.2422227859497
"[30.9666, 30.9277, 31.0554, 30.9697, 30.9352, 30.9497, 30.995]",30.127,77.21487522125244
"[30.9696, 30.9305, 31.0589, 30.973, 30.9371, 30.9542, 30.9993]",30.134,82.21303129196167
"[30.9691, 30.9326, 31.0624, 30.9755, 30.9396, 30.9566, 31.0013]",30.136,87.16518211364746
"[30.9747, 30.9359, 31.0637, 30.9766, 30.9442, 30.9584, 31.0035]",30.137,92.13433241844177
"[30.9759, 30.9378, 31.0667, 30.9804, 30.9459, 30.9601, 31.0067]",30.139,97.09448337554932
"[30.9802, 30.9414, 31.0703, 30.983, 30.9483, 30.9645, 31.0092]",30.145,102.06763577461243
"[30.9841, 30.9433, 31.0733, 30.9858, 30.9505, 30.9674, 31.0128]",30.146,107.03478932380676
"[30.9851, 30.9446, 31.0747, 30.989, 30.9527, 30.9702, 31.0159]",30.148,112.02394652366638
"[30.9878, 30.9488, 31.0768, 30.9912, 30.9568, 30.9724, 31.0163]",30.155,117.00610136985779
"[30.9895, 30.9512, 31.0796, 30.9929, 30.9598, 30.9738, 31.0204]",30.155,121.96825051307678
"[30.9938, 30.9533, 31.0823, 30.9961, 30.9617, 30.9776, 31.0234]",30.157,126.93640494346619
"[30.9965, 30.9582, 31.0855, 30.9986, 30.9636, 30.9806, 31.0245]",30.158,131.90455889701843
"[30.9974, 30.959, 31.0873, 31.0014, 30.9684, 30.9833, 31.0263]",30.164,136.8567132949829
"[30.9995, 30.9594, 31.0883, 31.0043, 30.9679, 30.9846, 31.0302]",30.165,141.82436442375183
"[31.0036, 30.9613, 31.0916, 31.0065, 30.9715, 30.9879, 31.0315]",30.166,146.83351969718933
"[31.0048, 30.9653, 31.0945, 31.0082, 30.9749, 30.9893, 31.0348]",30.169,151.80767178535461
"[31.008, 30.9692, 31.0968, 31.0112, 30.9769, 30.9918, 31.0364]",30.17,156.77882313728333
"[31.0113, 30.9708, 31.1001, 31.0128, 30.9796, 30.9974, 31.0402]",30.172,161.74797368049622
"[31.0124, 30.9729, 31.1016, 31.0166, 30.9805, 30.9966, 31.0432]",30.18,166.6991250514984
"[31.0171, 30.9762, 31.1047, 31.0196, 30.9848, 31.0002, 31.0455]",30.181,171.66227412223816
"[31.02, 30.98, 31.1071, 31.0213, 30.9869, 31.0045, 31.049]",30.182,176.6489279270172
"[31.0222, 30.9809, 31.1098, 31.0245, 30.9908, 31.0054, 31.0514]",30.185,181.63908195495605
"[31.0244, 30.9839, 31.1123, 31.0283, 30.9927, 31.0097, 31.0541]",30.187,186.62823581695557
"[31.0279, 30.986, 31.1156, 31.0286, 30.996, 31.0105, 31.0545]",30.189,191.59938716888428
"[31.0307, 30.9891, 31.1177, 31.0308, 30.9984, 31.0143, 31.0566]",30.191,196.5695402622223
"[31.0325, 30.9925, 31.1204, 31.0341, 31.0001, 31.0176, 31.0615]",30.198,201.53369045257568
"[31.0345, 30.994, 31.1245, 31.0367, 31.0028, 31.0214, 31.064]",30.199,206.4888415336609
"[31.0361, 30.9974, 31.1259, 31.0397, 31.0047, 31.0223, 31.0658]",30.2,211.46149373054504
"[31.0388, 30.9985, 31.1284, 31.042, 31.0076, 31.025, 31.0694]",30.202,216.45064544677734
"[31.0413, 31.0013, 31.1319, 31.0461, 31.0123, 31.0277, 31.0724]",30.211,221.43079614639282
