1,2,3,4,5,6,7,8,REF
216.168,216.1875,216.1544,216.2524,216.3874,216.0715,216.1358,216.2556,209.944
216.1703,216.1853,216.1561,216.2531,216.3827,216.0722,216.1357,216.2513,209.941
216.1676,216.1816,216.1507,216.2496,216.3772,216.0668,216.1343,216.2506,209.938
216.1792,216.1883,216.1613,216.2622,216.3817,216.0722,216.1404,216.2544,209.936
216.172,216.1898,216.1564,216.2571,216.3804,216.069,216.1296,216.2476,209.937
216.1782,216.1872,216.1575,216.2588,216.3822,216.0703,216.1377,216.2471,209.938
216.1782,216.1863,216.1549,216.256,216.382,216.0685,216.1383,216.2455,209.939
216.1764,216.1877,216.1554,216.2588,216.3825,216.071,216.139,216.2531,209.937
216.1786,216.1878,216.1563,216.2573,216.3836,216.0718,216.1404,216.2536,209.935
216.1878,216.1947,216.1674,216.2726,216.3867,216.0775,216.1496,216.256,209.935
216.1799,216.1932,216.161,216.2623,216.3888,216.0754,216.1415,216.2593,209.937
216.1903,216.1986,216.1696,216.2764,216.3926,216.0821,216.1506,216.2637,209.939
216.196,216.2008,216.1743,216.2818,216.3956,216.0878,216.156,216.2672,209.942
216.1953,216.2029,216.1712,216.2793,216.3985,216.0879,216.1519,216.2647,209.944
216.1985,216.2048,216.1758,216.2813,216.3965,216.0876,216.156,216.2657,209.95
216.191,216.2006,216.1704,216.2766,216.395,216.0841,216.156,216.268,209.951
216.1957,216.2029,216.1732,216.2821,216.3948,216.0858,216.1481,216.2642,209.951
216.1945,216.2048,216.1743,216.2786,216.398,216.0878,216.1521,216.268,209.951
216.1923,216.2038,216.1741,216.283,216.395,216.0871,216.1504,216.2665,209.952
216.1973,216.2044,216.1754,216.2821,216.3992,216.0888,216.1513,216.2694,209.954
