1,2,3,4,5,6,7,8,REF
205.8179,205.8367,205.8257,205.9249,206.04,205.7295,205.7979,205.9123,199.921
205.8225,205.8372,205.8277,205.9275,206.0391,205.7284,205.7995,205.9112,199.922
205.821,205.8372,205.827,205.9274,206.0403,205.7308,205.8011,205.9138,199.922
205.8242,205.8418,205.8287,205.9319,206.0425,205.7366,205.8023,205.9157,199.922
205.8274,205.8445,205.8342,205.9356,206.0442,205.7353,205.806,205.919,199.923
205.8299,205.8449,205.8337,205.9362,206.0482,205.7392,205.8073,205.923,199.925
205.8408,205.8519,205.8441,205.9473,206.0559,205.7467,205.8128,205.9307,199.928
205.8344,205.8499,205.8366,205.9397,206.0524,205.7432,205.8055,205.9247,199.935
205.8358,205.8477,205.8341,205.9369,206.0514,205.7422,205.808,205.9254,199.935
205.8312,205.8472,205.8329,205.9369,206.0483,205.7388,205.8018,205.9199,199.934
205.8297,205.8447,205.8321,205.9344,206.0437,205.737,205.8006,205.9143,199.934
205.8286,205.8395,205.8291,205.9344,206.0432,205.733,205.8043,205.9177,199.934
205.8231,205.8388,205.8264,205.9299,206.0393,205.7316,205.7979,205.9145,199.932
205.8269,205.8425,205.8301,205.9346,206.0417,205.7326,205.8023,205.916,199.93
205.8292,205.8435,205.8312,205.9361,206.046,205.7356,205.8005,205.9185,199.93
205.8277,205.8417,205.8287,205.9337,206.0415,205.7323,205.8026,205.9165,199.929
205.8301,205.8402,205.8316,205.9341,206.0378,205.7318,205.8026,205.9118,199.929
205.8271,205.8387,205.8269,205.9322,206.0393,205.7318,205.8008,205.9157,199.929
205.8229,205.8358,205.825,205.9304,206.0381,205.7306,205.802,205.9135,199.929
205.8247,205.838,205.8275,205.9327,206.0407,205.7298,205.8013,205.9155,199.927
